video_id	prompt_en
robot_142	The video opens with a scene set on a wooden table in a cozy living room, featuring a green sofa adorned with various colorful cushions, including one with a cartoon character design. On the table, a small wooden game board with yellow edges is positioned centrally. The game board has several black, red, and green pegs arranged in a grid pattern. A white robotic arm with black joints is extended towards the game board from the left side of the frame, while another robotic arm with a hammer-like attachment is extended from the right side. The hammer is poised above the game board, suggesting an impending action. The video captures the robotic arm with the hammer-like attachment as it positions itself directly above the game board, lowering the hammer slightly, preparing to strike one of the red pegs. The hammer moves closer to the peg, then moves away slightly, and then moves closer to the peg again. The peg remains in position without any movement. By the final frame, the robotic arm with the hammer-like attachment is still near the red peg. The scene remains static, with no further movement observed.
common_sense_d43ce421-2e32-4b56-a10f-65abbf82c7d8	A young woman sits in a cozy restaurant, engaging with the camera as she enjoys a meal. She is centered in the frame, wearing a vibrant neon pink and black color block windbreaker over an orange shirt, complemented by dangly earrings, a necklace, silver rings, and long, neon pink and yellow nails. Her dark hair cascades over her shoulders, adding to her lively appearance. She is positioned at a booth with a light table and a red cushioned bench, surrounded by various dining items.  The table in front of her holds a white teapot, a small paper tray with red sauce, a round metal steamer filled with dumplings and a white spoon, and a tan plate with black chopsticks. She initially holds a yellow bun in her right hand, taking bites and gesturing with her left hand as she speaks. Her movements are fluid and expressive, with her head occasionally tilting to the side as she takes a bite. The background reveals metallic shelving stocked with plates and paper products, and a transparent panel above the booth reflects the warm, artificial lighting, which casts a yellowish hue across the scene. The overall ambiance is casual and inviting, capturing the essence of a relaxed dining experience.
av_bridge_tunnel_1_1	The video begins with a view from inside a tunnel, likely captured from the dashboard camera of a vehicle. The tunnel's interior is illuminated by rows of overhead lights that cast a warm glow across the concrete walls and ceiling. The road ahead is marked with white lane lines, and several vehicles can be seen traveling in the same direction, including two white cars. The tunnel appears to be relatively wide, with a smooth, curved design that gently curves upwards towards the light at the far end. As the video progresses, the white cars move further away. The tunnel's lighting gradually brightens as the vehicle approaches the exit, creating a sense of forward motion and transition from the enclosed space into daylight. By the final frame, the tunnel's interior is bathed in a brighter light, indicating the vehicle has moved closer to the exit, with the white cars now significantly further ahead.
physics_125	The video opens with a close-up view of a single, large, marquise-cut diamond, the central focus throughout the sequence. The diamond is held securely by a metal prong, allowing it to rotate slowly against a plain, light gray background. In the first frame, the diamond is positioned at an angle where its facets are catching the light, creating a mesmerizing display of reflections and refractions. The diamond's surface is smooth and polished, with a gradient of colors ranging from clear to a subtle pinkish hue, adding depth and visual interest. The lighting is soft yet sufficient to highlight the diamond's brilliance and clarity. The scene is devoid of any other objects or characters, ensuring that all attention remains on the diamond itself. The camera remains stationary, maintaining a consistent angle that emphasizes the intricate cut and the play of light across its surface. As the video progresses, the diamond continues to rotate slowly, showcasing different angles and facets, further highlighting its brilliance and the interplay of light and color. By the final frame, the diamond has completed part of a rotation, presenting a full view of its intricate cut and the captivating display of reflections and refractions, maintaining the elegance and allure of the gemstone as the sole subject of the viewer's focus.
human_041	A close-up of a single shallot with light brown skin and subtle yellow streaks, placed on a wooden cutting board. The shallot's papery texture suggests its freshness. The background is softly blurred, revealing hints of other vegetables like carrots and possibly garlic, indicating a kitchen setting. A hand holding a large knife appears, positioning itself above the shallot. The knife starts slicing through the shallot from the root end, cutting it in half and then continuing to divide it further. The hand adjusts the position of the shallot as needed for precise cuts. By the final frame, the shallot is visibly cut into smaller pieces, with some slices already removed from the main body, indicating the ongoing process of chopping.
human_055	A close-up shot captures a person's hands skillfully chopping dried green herbs on a richly textured wooden cutting board. The knife, held firmly, moves rhythmically back and forth, slicing through the herbs with precision. The herbs, initially whole and scattered, are progressively chopped finer, accumulating on the board. The camera angle shifts slightly to show the herbs being methodically cut, emphasizing the rhythmic motion of the knife. The background remains consistent, focusing solely on the chopping action, with the cutting board's grain patterns adding depth to the scene. The video concludes with a pile of finely chopped green pieces on the board, showcasing the meticulous process of herb preparation.
av_9f3a2fd3-07e2-494a-9477-1e254ab2694e	"A point-of-view video shot from inside a vehicle, capturing a quiet suburban street bathed in bright sunlight. The road is lined with parked cars on both sides, and buildings, likely residential or small businesses, are visible across the street. A ""STOP"" sign is prominently displayed near the center of the intersection. The sky is clear and blue, with the sun shining brightly overhead, casting long shadows on the pavement. On the left side of the street, several vehicles are parked, including a van with some text on its side. Across the street, a white van is parked near two trash bins, and a red SUV is parked further down. The buildings on either side have a mix of architectural styles, with some featuring flat roofs and others with sloped roofs. Overhead, numerous power lines stretch across the street, and a few trees are visible in the background, partially obscuring the view of the buildings. As the video progresses, a white pickup truck makes a turn into the adjacent opposite lane, briefly encroaching into the ego vehicle's lane. The ego vehicle slows down and comes to a stop, waiting until the pickup fully enters the opposite lane before proceeding. The other vehicles remain stationary, parked along the curb. The scene remains static otherwise, with no significant changes in the environment or additional objects entering the frame. By the end of the video, the silver pickup truck has moved out of the camera view, while another white car enters the frame from the left, the rest of the scene remains largely unchanged, maintaining the same composition and lighting conditions as the beginning."
common_sense_2e166ef8-062f-4b00-8fd3-e3276edc3367	A serene pastoral scene unfolds under a dramatic sky, featuring five cows grazing in a lush green field. The main focus is on four cows clustered on the left side, viewed from the right, constantly moving their tails and ears as they feed on the grass. One cow stands alone on the right, facing the camera, and also moves its ear and tilts its head up. The cows are primarily brown and white with irregular patches. The foreground is a vibrant green, transitioning to yellow in the middle ground, where evergreen trees and rooftops of various colors line up horizontally. The background showcases a majestic mountain range with snow-capped peaks on the right and rugged, green-covered slopes on the left. The camera captures the scene in an arc shot, highlighting the dynamic movements of the cows and the expansive rural setting. The sky above is a mix of dark gray clouds with occasional lighter patches, adding depth to the tranquil yet dramatic atmosphere. The entire scene is bathed in natural daylight, casting soft shadows across the grass. This wide shot at a high angle beautifully encapsulates the peaceful coexistence of nature and the countryside.
robot_036	The video opens with a close-up shot of a wooden countertop in a modern kitchen setting. On the countertop, there is a metallic bowl with a shiny, reflective surface, a folded purple cloth, and a blue-handled ice cream scoop. A green cylindrical object is also present but remains stationary throughout the sequence. A black robotic arm enters the frame from above, moving towards the ice cream scoop. The robotic arm then grasps the scoop, lifts it slightly off the surface, and moves it away from its original position on the left part of the wooden countertop, indicating the beginning of a task involving the scoop. The robotic arm then places the ice cream scoop on the right part of the countertop, while the other objects remain undisturbed. The background features a light-colored wooden wall and a glimpse of a tiled backsplash, adding to the clean and organized kitchen ambiance. The video captures the precise and deliberate movements of the robotic arm, emphasizing the integration of technology in everyday tasks.
robot_022	A toy kitchen setup is showcased in a video, focusing on a sink area. On the left side of the sink, a blue toy stove with two red knobs and a metallic pot on top is visible. Inside the sink, a purple and green toy eggplant lies. To the right of the sink, an orange dish rack holds a blue cup, a yellow pepper, a green cucumber, and a white and yellow toy egg. A robotic arm is positioned above the sink, hovering over the eggplant. The robotic arm descends, grabs the eggplant, and lifts it out of the sink. It then moves the eggplant towards the blue toy stove on the left side of the sink, placing it into the metallic pot. By the final frame, the sink is empty except for the metallic pot, while the blue tray now contains the purple and green toy eggplant. The background features a wooden floor and various other toy kitchen items scattered around. The video captures the motion of the robotic arm in a medium shot, emphasizing the interaction between the robotic arm and the toy eggplant.
misc_13146456_1920_1080_25fps	A serene sunset video captures a tranquil scene over a strait or bay, with a cityscape silhouetted against the vibrant orange and yellow hues of the sky. Several seagulls are gracefully soaring above the choppy waters, their wings spread wide in mid-flight. A large cargo ship is positioned centrally in the frame, while another smaller vessel can be seen to the left. The city skyline features several prominent structures, including a domed building, possibly a mosque, and other architectural landmarks, all bathed in the warm glow of the setting sun. As the video progresses, the seagulls continue their fluid and dynamic movements, dipping and soaring close to the water's surface, while others glide higher. The cargo ship remains stationary, serving as a steady focal point amidst the ever-moving birds. The city skyline, with its distinct domed structure and other buildings, remains static but is illuminated by the changing light of the sunset, enhancing the visual appeal of the scene. By the final frame, the seagulls maintain their graceful flight, reflecting the serene and harmonious nature of the sunset. The warm, golden light of the sunset casts a tranquil glow over the entire scene, with the water below reflecting the colors of the sky, adding depth and tranquility to the image.
common_sense_ffb94c75-5b20-4102-b292-df76c4dce921	A man is climbing up a challenging rocky terrain, navigating a steep incline composed of jagged rocks and patches of moss and lichen. He is wearing a black jacket with a blue hood, gray trousers, black shoes, and a cap that is predominantly pink, white, and blue in color with a red symbol on the front. A pink thread hangs from near the left side of his neck. The climber is equipped with a large, light gray-colored backpack fitted tightly on his shoulders and fastened to his body. It has blue-colored straps, a rolled sleeping mat/bag attached at the bottom, a green item with its ends visible at the top, and a blue cup hanging from the left side. Two cameras are attached to the strap of the backpack near his chest, one on each side, and a water bottle is attached at the middle. A slim white bag hangs near his stomach. As he bends, two gloves fixed to the backpack on the backside become visible. The man steadily advances up the uneven rocky path, sometimes using both his hands to grab onto nearby rocks while carefully pulling himself upward with cautious steps. The long shot captured from a high angle shows the man meticulously planting his feet before taking any step forward. The camera initially zooms out and then moves randomly, capturing the natural and dimly lit setting. Raindrops can be seen falling down, indicating cloudy weather.
av_a6beffc6-0c10-45d4-9ac1-06e482f25ebf	"A point-of-view video shot from inside a car, positioned at an intersection in a small town or suburban area. The car's dashboard is visible in the foreground, reflecting the surroundings on its hood. The intersection features a ""clear keep"" marking painted on the road, indicating traffic regulations for vehicles waiting at the light. Across the street, there is a row of buildings with a uniform architectural style, likely commercial establishments such as shops or restaurants. These buildings have a beige facade with brown roofs and large windows, giving them a classic, possibly mid-20th-century aesthetic. Trees line the sidewalks and streets, adding greenery to the scene. Several cars are parked along the sides of the road, and a few pedestrians can be seen walking near the buildings. The sky is clear and blue, suggesting a sunny day. In the background, hills are visible, adding depth to the landscape.  As the video progresses, the car begins to move forward through the intersection and double yellow line markings are seen on the asphalt. The camera remains stationary, capturing the movement of the vehicle as it navigates the road. The car passes by the buildings on the left, revealing more details of their architecture and signage, and then moves towards the left. A car is parked on the right side of the ego vehicle, and a man is opening its door. The trees remain stationary, and the sky stays clear and blue throughout, maintaining the sunny weather conditions. By the final frame, the car has passed the initial intersection and turned left toward a building. The scene transitions to a quieter street lined with parked cars and more trees. The buildings on the right side of the road appear to be part of a different commercial complex, with a mix of older and newer structures. The overall atmosphere remains calm and quiet, typical of a small-town setting."
human_069	The video opens with two individuals seated on a couch in a well-lit, cozy living room adorned with string lights and festive decorations, including a large silver balloon and yellow star-shaped ornaments. The person on the left, sporting vibrant blue hair and a blue polo shirt, holds a blue and white balloon animal shaped like a syringe. The individual on the right, dressed in a white t-shirt with a colorful floral pattern, is holding an orange and black balloon animal resembling a stylized bird or dragon. The person on the right playfully lifts the balloon animal above their head and places it onto the head of the person on the left, causing them to react with surprise and amusement. The person on the left adjusts the balloon animal on their head while still holding their own balloon, maintaining a light-hearted and playful interaction. The scene concludes with both individuals sitting comfortably on the couch, the person on the left still holding the blue and white balloon animal and the person on the right looking at them with a smile. A medium shot captures the playful moment from a slightly elevated perspective.
human_082	The video opens with a wide shot of a volleyball match at the London 2012 Olympics, taking place in a large indoor stadium packed with spectators. The court is a vibrant orange with clear white boundary lines, and the net divides the two teams, Brazil and the USA, distinguished by their dark and light uniforms respectively. The scoreboard above the court displays the current score: Brazil (BRA) leading 1-2 against the USA (USA) with a score of 4-2. Players from both teams are strategically positioned, ready for the next play. The USA team, in white, is seen preparing to serve, while the Brazilian team, in dark uniforms, stands in formation, anticipating the serve. As the serve is made, the USA team executes a powerful spike, sending the ball flying over the net. The Brazilian team dives and leaps in an attempt to block or retrieve the ball, showcasing the competitive nature of the match. The crowd watches intently, adding to the charged atmosphere of the game. By the final frame, the ball is in play, with players from both teams actively engaged in the rally, demonstrating the dynamic and fast-paced nature of the sport.
human_096	"A dynamic basketball game unfolds in a well-lit indoor arena, filled with spectators seated in red and white stadium seats. The polished wooden court prominently displays the ""USA Basketball"" logo at its center. The scoreboard shows Brazil leading 6-2 against the USA Men's National Team in the first quarter with 15:40 remaining. A player in a yellow jersey dribbles the ball, closely guarded by an opponent in a white jersey. As the player in yellow advances, he showcases agility and skill, dribbling past the defender and moving towards the basket. Other players from both teams position themselves strategically, ready for potential passes or defensive plays. The camera follows the player in yellow, capturing his swift movements and the intensity of the game. The overall atmosphere is electric, reflecting the competitive spirit of the match."
physics_045	A static shot captures a wooden table with a clear glass bowl placed centrally. Above the bowl, a grabber tool with an orange and black handle holds a crumpled piece of white paper. The background is a plain off-white wall, emphasizing the objects on the table. As the video progresses, the grabber tool releases the crumpled paper, which falls into the bowl of water below. Upon impact, the paper creates ripples and disturbances on the water's surface. The final frame shows the crumpled paper resting at the surface of the water, with the grabber tool still hovering above, now empty of the paper.
misc_2818567-uhd_3840_2160_24fps	The video opens with an aerial view of a bustling city skyline bathed in the warm glow of early morning or late afternoon sunlight. The scene is dominated by a cluster of modern high-rises in the center, their sleek, reflective surfaces catching the light and standing out against the surrounding urban landscape. The buildings vary in height and design, creating a dynamic and layered skyline. Below, a network of roads and intersections forms a dense grid, though individual vehicles are not distinctly visible from this high vantage point. A large plume of smoke or haze hangs over the city, suggesting a fire or industrial activity, adding a dramatic and somewhat ominous element to the serene urban setting. The atmosphere is calm, with the city appearing at rest before the day's activities begin. Throughout the video, the focus remains on the static urban landscape and the persistent haze, maintaining a tranquil yet slightly ominous mood throughout the sequence. By the final frame, the scene continues to depict the same tranquil yet somber cityscape, with the smoke or haze still hovering over the buildings, preserving the serene yet slightly ominous ambiance established in the initial frame.
physics_051	A static shot captures a wooden table against a plain white background. A woven wicker basket supports a large glass beverage dispenser filled with vibrant orange grapefruit juice. In front of the dispenser, a smaller glass bottle, partially filled with water, is positioned to receive the grapefruit juice. The dispenser's spout is open, and a steady stream of grapefruit juice is being poured into the bottle. The camera remains fixed as the juice flows, gradually filling the bottle. By the final frame, the bottle is nearly full, showcasing the successful transfer of the grapefruit juice from the dispenser to the bottle.
human_243	The video opens in a well-lit indoor gymnasium with a polished wooden floor and cream-colored walls adorned with Olympic rings. A volleyball net is visible in the background, along with a row of benches and a small vent near the floor. Four players are present: a partially visible person with a grey shirt and black shorts, a male in black athletic wear with yellow shoes, a female in a gray long-sleeve shirt and dark shorts, and another male in black attire with blue accents on his sleeves. The male in black is positioned centrally, leaning forward with one leg extended and arms outstretched, seemingly preparing to dive for the volleyball. The female player stands further back, observing the play, while the third male player approaches from the right, also in a ready stance. As the sequence progresses, the male in black dives horizontally, extending his body low to the ground, reaching out with his hand towards the volleyball, which is captured mid-air above him. The female player remains stationary, watching the ball's trajectory, while the third male player continues to approach, maintaining his readiness. The final frame shows the male in black diving fully, his body stretched out horizontally, with the volleyball still in motion above him, highlighting the dynamic and athletic nature of the scene.
av_7aa30d83-4049-432f-a69d-6fc5a1387640	The video begins with a view from inside a vehicle stopped at a four-way intersection under a clear blue sky. The hood of the car reflects the road ahead, showing a wide, quiet suburban street lined with houses and utility poles. Traffic lights hang above the intersection, all displaying green signals. On the left, a small, single-story house with a light-colored exterior and a brown roof is visible, surrounded by a well-maintained lawn and shrubs. Across the street, another similar house is present, also with a brown roof and light-colored walls. A white SUV is seen driving across the intersection on the opposite lane of the ego vehicle, while a silver sedan waits at the stop line on the far right side of the frame. The road is marked with standard traffic lines, and trees and additional houses are visible in the background, reinforcing the suburban neighborhood setting.  As the video progresses, the ego vehicle performs an unprotected left turn at a green light, yielding to the oncoming white SUV from the opposite lane before completing the left turn, while the silver sedan remains stationary at the stop line. The traffic lights continue to display green, allowing the SUV to proceed smoothly. The surrounding environment, including the houses, trees, and utility poles, remains static, maintaining the tranquil suburban ambiance. By the end of the video, the scene depicts a calm and orderly intersection with minimal activity, emphasizing the peacefulness of the suburban area.
human_257	The video opens with a serene forest scene where two individuals are hiking. The man, wearing a wide-brimmed hat, a denim jacket, blue jeans, and brown boots, carries a large beige backpack and carefully navigates a moss-covered rock face. He uses his hands and feet to find secure footing, stepping over the uneven terrain. Beside him, the woman, dressed in a patterned sweater and jeans, follows closely. The forest around them is dense with tall evergreen trees, and the ground is covered with moss and scattered rocks. As the video progresses, the man continues to climb the rock face, his movements becoming more deliberate and careful. He reaches out with one hand, and the woman, positioned slightly behind him, offers her hand towards him. The man accepts her right hand and they continue their ascent together. By the final frame, both individuals have successfully climbed further up the rock face. The man has reached a higher point, still holding onto the rock for support, while the woman has followed closely behind. The camera captures this moment from a low angle, emphasizing the height and the challenging nature of their climb.
av_12b168b2-0c37-4b7c-b7f3-e78165b24d5c	"The video opens with a view from inside a vehicle, positioned at an intersection in a suburban setting. The scene is framed by a wide, paved road bordered by tall evergreen trees and a mix of residential and commercial buildings. Traffic cones line both sides of the road, guiding the vehicle's path. On the left, a white building with a flat roof and some greenery, including a tree with a thick trunk, is visible. On the right, a construction area marked ""TrueBeck Construction"" in white is enclosed by a temporary blue and green fence, partially obscuring a modern glass building. The sky is clear and blue, indicating a sunny day. The dashboard of the car reflects the surroundings, adding depth to the scene. As the vehicle begins to move forward, it navigates through the intersection, passing under a traffic light. Several stationary vehicles can be seen on both sides of the road. The traffic cones remain in place, ensuring safe passage. The final frame captures the vehicle continuing its journey down the road, with the sun casting long shadows across the pavement."
common_sense_bd3c4211-c1b0-4287-b3ba-78391f00c88a	Two women are playing similar string instruments in a medium shot captured at eye level. Both have long, black hair adorned with pink rabbit ears headbands. They wear full-sleeved, V-neck purple shirts and partially visible black chokers. With their left hands, they hold the body of the black-stringed instrument, where the white strings are attached. The lower part of the instrument rests on their left shoulders, between the chin and the neck. Using a long, black bow, they glide over the strings, creating music with fluid, continuous movements. Their left thumb is positioned under the body of the instrument, while the rest of the fingers rest on the fretboard to play the notes. Occasionally, they shake their hands to produce a vibrato effect. Their bodies move rhythmically left and right as they play, their eyes closed in concentration. The setting is an artificial backdrop with sufficient lighting, featuring a dark orange vignette that flickers and spreads in various directions, adding a dynamic visual element to the scene.
av_ae344414-9a80-431f-bd23-12ba5d32716d	A video captured from inside a car, likely using a dashboard camera, shows a two-lane suburban street during late afternoon or early evening. The road is marked with a white dashed line down the center, and several cars are visible ahead, including a silver sedan directly in front and a blue car to its right. Residential houses with varying roof colors and styles line both sides of the street, some with visible driveways and parked vehicles. Trees, some bare, suggest it might be autumn or winter. A utility pole with wires spans across the top of the frame, and a lamppost stands near the curb on the right side. The sky is clear and blue, with the sun low, casting a golden hue over the scene. As the video progresses, the silver sedan maintains its position, while the blue car gradually moves out of view. The ego vehicle overtakes a stopped vehicle ahead, which is waiting to make a left turn, indicated by its left turn signal. The surrounding environment remains consistent, with no significant changes in the positions of other vehicles or objects. The trees and houses remain stationary, and the utility pole and lamppost continue to stand in their respective places. The lighting conditions suggest the time of day is still late afternoon or early evening, with the sun continuing to cast long shadows across the road. By the end of the video, the scene remains largely unchanged, with the silver sedan still in the same position and the blue car no longer visible. The residential houses, trees, utility pole, and lamppost maintain their positions, and the clear blue sky with the low sun continues to illuminate the suburban street. A medium shot from the driver's perspective captures the road and surrounding environment.
common_sense_5581dd14-ab23-470b-9f3e-0a09bdb55850	A close-up of a man in a stained shirt taking a drink of liquid from a clear bottle, set against a backdrop of dense green foliage, suggesting a jungle or forest environment. The natural light filters through the leaves, casting a warm glow on the man’s face and highlighting the moisture on his skin. The man, with disheveled, wavy dark brown hair that falls over his forehead and ears, has a short dark beard and mustache, and an angular facial structure with high cheekbones. His white shirt is dirty, with a wide neckline that dips below the frame, and his skin appears shiny with sweat. The camera focuses on the man from the mid-chest to the mid-forehead, capturing his intense expression as he clutches his jaw and bares his teeth. He looks down briefly before raising the bottle to his lips with his right hand. As he drinks the clear liquid, the camera tilts up slightly to show most of his head. The bottle is angled upward before he lowers it and swallows. The sunlight reflects off the bottle and the man’s right cheek, adding a natural glow to the scene. The camera then tilts down to keep his face in the frame as he glances down at the bottle in his hand with a neutral expression. The label of the bottle is partially visible but mostly obscured by his fingers. The bottle changes shape, becoming more flattened, indicating it caved under the pressure of his hand.
human_280	The video opens in a well-lit indoor fencing gymnasium, characterized by its high ceilings, exposed beams, and large windows that allow ample natural light to stream in. The space is equipped with various fencing apparatus, including racks holding swords and other gear, and a few benches are visible near the back. The walls are painted a neutral gray, and the floor appears to be a polished concrete or similar material. In the foreground, two individuals dressed in white fencing uniforms, complete with protective vests, are seen smiling and engaging in conversation. One has her hair tied back with a red hair tie, while the other has her hair down. As the video progresses, a third person, also in a fencing uniform, enters the frame from the right side, joining the two others. They all engage in a warm embrace, with arms around each other's shoulders. The setting remains consistent throughout, with no significant change to the environment or additional objects entering the scene. A medium shot captures the interaction between the three individuals, highlighting their camaraderie and the supportive atmosphere of the gym.
industry_107	An aerial view captures a vast agricultural field during the harvesting process, showcasing a green combine harvester actively working. The field is divided into two sections: the left side is already cleared, exposing the bare soil, while the right side remains covered with tall, unharvested corn stalks arranged in neat rows. The harvester, positioned centrally, moves slowly vertically, cutting and collecting the corn, leaving behind a trail of dust. The harvester's shadow stretches out to the left, elongating as it advances, indicating the sun is positioned to the right. By the final frame, the cleared area expands towards the center, while the remaining unharvested corn becomes more prominent on the right side. The video maintains a steady, bird's-eye perspective throughout, emphasizing the methodical progress of the harvesting operation.
